回答ID, 企画ID, 団体名, 主体としているキャンパス, 団体の区分, 活動内容, 活動日, 活動場所, 部員数, 部費, ひとこと, キャッチコピー, 年間日程
1001, 2001, 野田キャンパス写真クラブ「Lumière」, 野田, 文化系, デジタル・フィルム問わず写真撮影。定期撮影会、暗室体験、学内展示会開催。, 月2回 土曜午後 + 不定期撮影旅行, 関東近郊、部室棟W203、オンライン講評会, 42名（男子25名、女子17名）, 5000円/年, 初心者大歓迎！スマホでもOK！撮りたい気持ちがあれば大丈夫。一緒に「エモい」瞬間を探しに行きませんか？, 光と影で、世界を描く。, 4月:新歓撮影会(公園) 5月:機材相談会 7月:前期作品発表会 8月:夏合宿(泊まり込み撮影) 10月:合同写真展 11月:理大祭展示 2月:暗室体験ウィーク 3月:卒業記念撮影
1002, 2002, プログラミング研究会「AlgoEngine」, 野田, 文化系, 競技プログラミングの勉強会、Webサービス開発、ゲーム制作。初心者向けワークショップも。, 毎週火曜 18:00-20:00 + もくもく会(不定期), 講義棟 K502、オンライン(Discord), 55名（男子48名、女子7名）, 3000円/年, コード書きたい人、集まれ！経験不問。作りたいものがある人も、これから学ぶ人も、一緒にスキルアップしましょう。アイデアを形にする楽しさを体験！, 思考をコードに、未来を実装！, 4月:新歓LT＆交流会 5月:Python基礎/Web入門講座 7月:学内ミニハッカソン 9月:夏合宿(開発集中) 11月:理大祭(自作ゲーム展示/技術デモ) 12月:年末成果発表会 2月:競技プログラミング大会参加(有志)
1003, 2003, バドミントンサークル「シャトルウィングス」, 野田, 運動系, 基礎打ち、パターン練習、ゲーム形式。レベル別にコートを分けて活動。, 毎週水曜 18:30-21:00, 森戸記念体育館, 68名（男子38名、女子30名）, 6000円/年 (シャトル代含む), 経験者も初心者も大歓迎！楽しく汗を流したい人、運動不足を解消したい人、ぜひ一度体育館へ！ラケット貸し出しあります！, スマッシュで、ストレス解消！, 4月:新歓体験練習会 5月:新歓BBQ 7月:前期学内ランキング戦 8月:夏合宿(練習&レク) 10月:他大学交流戦(予定) 11月:理大祭(体験コーナー) 12月:クリスマス混合ダブルス大会 3月:追いコン
1004, 2004, キャンパス菜園部「Green Fingers」, 野田, 文化系, 大学内の畑スペースで季節の野菜やハーブを栽培。収穫祭、堆肥作り、地域への野菜配布も。, 週1回程度の水やり当番 + 月2回 土曜午前 共同作業, キャンパス内指定畑、部室棟E108, 35名（男子15名、女子20名）, 2000円/年 (種・苗・肥料代), 土いじり好き集まれ！野菜作り、ハーブ栽培に興味がある方、一緒に育てて収穫する喜びを味わいませんか？初心者でも丁寧に教えます。, 育てよう、食べよう、分かち合おう。, 4月:春夏野菜の植え付け 5月:ハーブ苗植え、土壌改良 7月:夏野菜大収穫祭＆試食会 9月:秋冬野菜の準備、種まき 10月:サツマイモ掘り 11月:理大祭(収穫物販売、活動紹介) 12月:冬野菜鍋パーティー 3月:畑の整備、堆肥作り
1005, 2005, 映画同好会「スクリーン・ジャンキーズ」, ３キャンパス合同, 文化系, 月1回のテーマ別オンライン上映会＆ディスカッション。長期休暇には名画座巡りやミニ映画祭企画も。, 月1回 金曜夜 (オンライン) + 不定期対面イベント, オンライン(Discord),  各キャンパス講義棟, 45名（男子28名、女子17名）, 基本0円 (イベント実費), 映画が好きなら誰でもOK！語りたい人、新しい発見をしたい人、一緒に映画の世界に浸りましょう。オンライン中心で気軽に参加できます。, あなたの人生を変える一本に、出会うかも。, 毎月オンライン上映会 / 4月:新歓・自己紹介＆推し映画プレゼン 6月:ジャンル別特集上映 8月:夏休み名画座巡り(有志) 10月:ホラー/SF特集 11月:理大祭期間中 特別企画検討 12月:年末オールナイト上映会(オンライン) 3月:自主制作ショートフィルム発表会(希望者)
1006, 2006, ボルダリングサークル「Gravity Shift」, 野田, 運動系, 週1回ジムでのトレーニング。レベル別課題挑戦、ムーブ研究。長期休暇には外岩遠征も企画。, 毎週金曜 19:00～ (ジム集合) + 不定期土日, 流山・柏周辺のボルダリングジム、関東近郊の岩場, 28名（男子20名、女子8名）, ジム利用料各自 + 年会費2000円, 初心者・経験者問わず歓迎！体一つで壁に挑む達成感を味わおう！全身運動でシェイプアップにも。必要なのは動きやすい服と好奇心！, 壁を越えろ、自分を越えろ！, 4月:初心者体験クライミング会 5月:新歓懇親会 7月:ボルダリングコンペ(ジム内) 8月:夏合宿(外岩 or ジム) 10月:テクニック講習会 11月:理大祭(紹介ブース) 12月:年末クライムセッション 3月:春の外岩ツアー
1007, 2007, 国際交流クラブ「Global Connect」, ３キャンパス合同, 文化系, 留学生との交流イベント（料理会、ゲーム大会、観光案内）、語学カフェ、異文化理解セミナー。, 月2回程度 イベント企画・実施 + 週1回 語学カフェ(オンライン/対面選択), オンライン、各キャンパスラウンジ、地域施設, 70名（日本人学生45名、留学生25名）, 1000円/年, 世界と繋がりたい人、語学力を活かしたい人、異文化に触れたい人、大歓迎！企画から運営まで、一緒にグローバルな活動を楽しみましょう！, キャンパスから世界へ、扉を開こう！, 4月:ウェルカムパーティー 5月:各国料理を楽しむ会 6月:英語/日本語ランゲージ・エクスチェンジ 7月:浴衣で七夕祭り 9月:都内観光ツアー企画 10月:ハロウィン交流会 11月:理大祭(ワールドカフェ出店) 12月:インターナショナル・クリスマス会 2月:ボードゲーム大会 3月:学期末フェアウェル
1008, 2008, アカペラサークル「Voice Weavers」, 野田, 音楽系, 複数のアカペラバンドを結成し、学内外でライブ活動。ボイスパーカッション練習会も。, 全体練習:毎週木曜 18:00～ + 各バンド週1回練習, 講義棟、音楽練習室、トレーニング棟, 60名（男子35名、女子25名）, 7000円/年, 歌が好きなら誰でもOK！楽器不要、体一つで音楽を奏でよう。初心者でも先輩がしっかりサポート。ハモる楽しさ、一緒に体験しませんか？, 声で繋がる、ハーモニーの輪。, 4月:新歓ミニライブ＆体験会 5月:パート決め＆バンド結成会 7月:七夕ライブ 8月:夏合宿(集中練習＆レク) 10月:オータムライブ 11月:理大祭ステージ発表 12月:クリスマスライブ 2月:他大学交流ライブ 3月:卒業ライブ
1009, 2009, 謎解き制作集団「Enigma Lab」, 野田, 文化系, オリジナル謎解きゲームの企画・制作・運営。学内イベント実施、外部公演への参加や分析も。, 週1回ミーティング(木曜夜) + 制作期間は随時, 講義棟 K405、オンライン, 25名（男子16名、女子9名）, 1500円/年 + 公演参加費は各自, 「解く」から「創る」へ！物語作り、謎作り、デザイン、演出に興味ある人募集！あなたのアイデアで、参加者をアッと言わせる体験を創り出そう！, 最高の「ひらめき」を、デザインする。, 4月:新歓謎解き＆制作体験 5月:ストーリー/謎制作ワークショップ 7月:学内ミニ周遊謎① 9月:謎解き合宿(制作集中) 11月:理大祭大型謎解き企画 1月:学内ミニ周遊謎② 3月:年間活動報告＆新作発表会
1010, 2010, 野外料理クラブ「Blue Sky Kitchen」, 野田, 運動系, 月1回のデイキャンプやBBQ。ダッチオーブン、燻製、飯盒炊爨など、様々なアウトドア料理に挑戦。, 月1回 土日どちらか + 長期休暇に1泊キャンプ, 近郊キャンプ場、河川敷、公園BBQエリア, 40名（男子22名、女子18名）, イベント毎実費(2000-4000円程度), 自然の中で食べるご飯は最高！料理スキル不問。メニュー考案から火起こしまで、みんなで協力して楽しみます。アウトドア好き、食べるの好き、集まれ！, 空と緑と、うまいメシ！, 4月:新歓お花見BBQ 5月:ダッチオーブンでパン作り 6月:燻製チャレンジ 7月:川遊び＆流しそうめん 8月:夏キャンプ(1泊2日) 10月:秋の味覚BBQ＆焼き芋 11月:理大祭(アウトドア飯販売検討) 12月:焚き火料理＆クリスマス会 3月:春のハイキング＆山ごはん
